2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2320202020696620
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 246672616d655f74
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 25797065203d3d20
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 263078303a202023
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 272053696e676c65
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 28204672616d650d
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 290a232020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2a20202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2b20646174615f6c
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2c656e677468203d
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2d2066697273745f
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2e6672616d655b30
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2f5d202620307830
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2046202023204578
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2174726163742074
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 226865206e657874
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2320342062697473
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2420666f72206461
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 257461206c656e67
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2674680d0a232020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2720202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2820202020696620
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 29646174615f6c65
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2a6e677468203e20
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2b373a0d0a232020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2c20202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2d20202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2e20726169736520
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2f56616c75654572
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 20726f722822496e
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2176616c69642064
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 22617461206c656e
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2367746820666f72
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 242073696e676c65
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 25206672616d652e
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2622290d0a0d0a23
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2720202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2820202020202072
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 29657475726e2066
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2a697273745f6672
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2b616d655b313a31
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2c202b2064617461
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2d5f6c656e677468
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2e5d0d0a0d0a2320
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2f20202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2020656c69662066
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2172616d655f7479
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 227065203d3d2030
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2378313a20202320
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2446697273742046
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2572616d650d0a23
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2620202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2720202020202023
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2820457874726163
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 297420746865206d
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2a65737361676520
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2b6c656e67746820
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2c28313220626974
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2d73290d0a232020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2e20202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2f202020206d6573
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 20736167655f6c65
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 216e677468203d20
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2228286669727374
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 235f6672616d655b
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 24305d2026203078
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 25304629203c3c20
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 263829207c206669
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 277273745f667261
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 286d655b315d0d0a
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2923202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2a20202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2b6966206d657373
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2c6167655f6c656e
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2d677468203d3d20
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2e30206f72206d65
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2f73736167655f6c
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 20656e677468203e
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2120343039353a0d
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 220a232020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2320202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2420202020207261
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 256973652056616c
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2675654572726f72
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 272822496e76616c
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 286964206d657373
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 29616765206c656e
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2a67746820666f72
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2b20666972737420
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2c6672616d652e22
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2d290d0a0d0a2320
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2e20202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2f20202020202320
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 20436f6c6c656374
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 212074686520696e
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 22697469616c2036
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2320627974657320
